Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,SuppliersPartNumber,uuid
"C1, C2, C3, C7, C9",5,104,C0603,,,,tht,C14663,
"C10, C11, C12",3,103,C0603,,,,tht,C57112,
"C4, C5",2,22P,C0603,,,,tht,C1653,
"C6, C8",2,106,C0603,,,,tht,C19702,
D1,1,SS34,DO-214AC_L4.3-W2.7-LS5.3-RD,,,,tht,C8678,std:0eedab92e7aafdde01ddc57928d2356c
D4,1,LED,LED0603-FD,,,,tht,C84263,std:651435c3a41bddef42344e2bd5c58085
J1,1,HDMI0-OUT,HDMI-SMD_HDMI-019S,,,,tht,C111617,std:8f15701fea8f452fbec0e98d6e0f86f5
J10,1,SERIAL,HDR-TH_3P-P2.54-V-M-1,,,,tht,C49257,std:21f8f80a3f7c3c2b00b33f71a31ff6ef
J2,1,PJ-3200,AUDIO-TH_PJ-3200,,,,tht,C2689690,std:dac8294caf554b3db6fbd0b11f1edaf5
J3,1,HDMI1-OUT,HDMI-SMD_HDMI-019S,,,,tht,C111617,std:8f15701fea8f452fbec0e98d6e0f86f5
J4,1,HDMI2-OUT,HDMI-SMD_HDMI-019S,,,,tht,C111617,std:8f15701fea8f452fbec0e98d6e0f86f5
J5,1,KH-TYPE-C-16P,USB-C-SMD_KH-TYPE-C-16P,,,,tht,C709357,std:7083d9afdc7d4d24a2e54126331c8e1f
J6,1,POWER_O,HDR-TH_3P-P2.54-V-M-1,,,,tht,C49257,std:21f8f80a3f7c3c2b00b33f71a31ff6ef
J7,1,DATA3,EBAZEXT-DAT,,,,tht,C3012193,
J8,1,DATA2,EBAZEXT-DAT,,,,tht,C3012193,
J9,1,DATA1,EBAZEXT-DAT,,,,tht,C3012193,
P1,1,Header-Female-2.54_1x8,HDR-TH_8P-P2.54-V-F-1,,,Yes,tht,C27438,std:bacf5553da266925c44144ce5fdc0a97
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",9,AO3400,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,,,tht,C344010,std:501e3ffea2d1436abf4de865e96238d5
"R1, R11, R15, R20, R23, R28, R31, R37, R38, R4, R40, R43, R9",13,10K,R0603,,,,tht,C25804,
"R10, R12, R14, R16, R17, R21, R22, R24, R25, R29, R30, R32, R33, R39, R41, R42, R44, R45",18,2K2,R0603,,,,tht,C4190,
"R13, R18",2,5K1,R0603,,,,tht,C23186,
R19,1,1K,R0603,,,,tht,C21190,
"R2, R26, R3",3,100K,R0603,,,,tht,C25803,
"R27, R5, R6",3,27K,R0603,,,,tht,C22967,
"R34, R35, R36",3,1M,R0603,,,,tht,C22935,
"R7, R8",2,3K3,R0603,,,,tht,C22978,
"RN1, RN2, RN3, RN4, RN5, RN6",6,49.9R,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,,,,tht,C54832,std:52521cd7ccb1a80004852f746e2aac6a
"SW1, SW2, SW3, SW4",4,KEY,SW-SMD_L6.0-W3.3-LS8.0,,,,tht,C318938,std:8710e6eb28c44416b37b2e373d35a96d
U1,1,CH340G,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,,,,tht,C14267,std:6120522a8db139790c57da44f34e914a
U2,1,AMS1117-3.3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,,,,tht,C347222,std:736876f24b5b418d94baa3b17df427eb
X1,1,12MHz,HC-49S_L11.4-W4.8,,,,tht,C14871,std:65eadf1ac039881e46ee158672a6b0ae
